,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Continuous interest rate (after tax),-0.6117882373320991,0.6380069626552121,0.6023867824149953,0.6293189757759591,0.24873522675733026,0.24871551436648165,0.5564629677595546,0.9598707647563658,0.9599471150643555,0.8763363381068546,1.0,-0.011674157528906945,0.278568643565718,0.3469875541496964,-0.22297499459933978,0.28636250694547366,0.5671550969513381,0.5671550969513381,0.4819068677193797,0.7241848854557372,0.43840627764597967,0.0032413773923722442,0.4534385212654531,0.7035048914219666,-0.3029048615277784,0.09114286648942631,0.08585236514648197,0.08877449982143883,0.26023779226917654,0.10732458927396216,0.6553565213757798,0.37864111010902163,0.39389291912837693,0.2379054480943837,0.24784752139762126,0.07287034964273327,-0.5087620484321244,-0.5860856511735402,0.5860856511735412,0.5003187019569322,0.07373300150374593,-0.06798004207440207,0.4526287156517495,0.6899330587303708,0.06926435589058207,0.004537539696535781,-0.10493298871312971,0.12867091586348994,0.17210363210534618,-0.046832328070815804,-0.22322823187617563,-0.07231493709386022,0.4680154987096938,-0.4993878463373753,0.256399904814239,-0.10445945227295353,-0.16301592452599248,0.05286520716553987,0.23936265184543548,-0.6064459971410758,-0.4344110630520276,0.3033761273857694,0.02084802402608469,0.14287844078345419,-0.016364248837977966,-0.04124336853594302,0.0975122792955726,-0.060455835483459446,0.6437875524036846,0.7233016092785427,-0.2871677566847417,-0.024506767640260628,-0.094660882400634,-0.2834287671501095,0.03086895993590139,0.023659190632312668,-0.13036615883655384,-0.016364248837977966,0.0975122792955726,0.1139923600976199,-0.008536596144338826,0.0464767855954988,0.39151904753565,0.341469960084961,-0.36772838050595497,-0.30197174114747627,0.6306704695345294,-0.13140332193682838,0.23355549901805375,0.24872926285177074,-0.19995713037177154,0.04698623233485707,-0.024800687446716697,0.040694582756239994,,0.44899419786607836
 Operating Expense Rate,0.04424612538636719,0.044522332645030346,0.039180720002181604,0.0761187618737847,-0.45987124597834717,-0.45960215092112067,-0.13279404471749467,-0.06469679832555626,-0.03201822765758289,-0.00651262185697648,-0.011674157528906945,1.0,-0.38493192323561176,-0.09685681368177959,0.0005511665745454892,-0.2285693173190548,-0.03121303652868908,-0.03121303652868908,-0.04224485191926541,0.04461908442547977,0.007665490540976412,0.44656042828241554,0.0176686038826775,0.0022855699347605852,-0.020692151348639838,0.01812987237835887,-0.12493523942632527,-0.12495677222343399,-0.06669324979736786,-0.049891772786522286,0.04688860673693596,0.050345972038945246,0.013075261236262303,-0.0031173031094484187,-0.024339175833238347,-0.12338434716470552,-0.04925038748539133,0.012732302154943139,-0.01273230215494249,-0.10471649552327911,0.08333146888213186,0.12325156598364752,0.01510454887104632,-0.0014506737026767822,0.19805748756126967,0.4550727450303968,0.2071227784404295,-0.16225632910746005,-0.2544243693908817,0.022166499974024725,0.323022815820554,0.33305654042836036,0.08514229384017004,0.15485659396346724,0.0909749981799886,0.20506453297412566,0.26571976828142474,-0.20031149961781752,-0.004508593019823969,-0.052379540183153654,0.1536207840366937,-0.07804625278867977,0.0732306774026554,0.0015542760770804742,0.21074272359933827,0.032135731946297534,0.07913243913740883,-0.09475019066578635,0.015101221070065517,0.013883762529004962,-0.24171673004117405,0.06169698392688247,-0.11245987339503107,-0.0472316898328171,-0.22047806975171386,0.04694453492953953,0.05487585015466875,0.21074272359933827,0.07913243913740883,0.03857334300100741,-0.022747205753664144,-0.045546733718997916,-0.005407452585971768,0.05588836026145955,-0.06567097421506557,-0.05237954018140947,0.03352310196888047,-0.07705986528216797,-0.1938740995813075,-0.4598673862183193,-0.049891100366418945,0.04316613846968504,-0.07611686968023473,0.04539586546285706,,-0.10850618853675796
 Research and development expense rate,-0.30357331274741134,0.1352105101698207,0.159544666813591,0.13283743137884402,0.3487909520172873,0.348440895814366,0.21008944924267753,0.31129287719836723,0.30859171823314957,0.2678694456061851,0.278568643565718,-0.38493192323561176,1.0,0.31457596331051074,-0.1352786625706704,-0.08539474684810897,0.14553941400406123,0.14553941400406123,0.1308309803288066,0.16233194042361404,0.11508553469650117,-0.39491821939899613,0.0665662978865306,0.16977007972152036,-0.10388427287167892,0.08125833969217404,0.07312944760551489,0.07565794189322052,0.09763389362628565,-0.056566864168005625,0.15017338049272103,0.06110502046369023,0.12437033024825868,0.11317084244831117,0.11977428899106561,0.03397656650694684,-0.16079824777296406,-0.23350934919272426,0.23350934919272442,0.3391265833161298,-0.06732792362017975,0.10789084468314451,0.06744365322967584,0.16873482182347752,-0.19753222696088446,-0.3680206748514318,-0.05993989926561135,0.05364364568600816,0.2559660059377853,0.10905676415397703,-0.35014627022668887,-0.24803091824840903,0.12177726026321714,-0.152469411511305,0.00810409827205064,-0.3831293600853127,-0.42917425731431047,-0.06821788099683528,0.09601679580330978,-0.07864705999884362,-0.4170421374958946,0.2086304699888489,0.03551706291103103,0.11252345890522948,-0.39854183528523174,-0.013454672448764847,-0.0799409336582025,0.3429543966000456,0.158005701301978,0.2665936937062035,-0.05887646092533907,-0.038344217008873034,-0.06073448565963138,-0.009416711036248686,0.05214536739792432,0.0726477290855337,-0.2145817961242264,-0.39854183528523174,-0.0799409336582025,0.05087057882553443,0.14519442903584687,0.16379403852556418,0.1442237932690907,0.12222749861873491,-0.06555214067052288,-0.06391041617685886,0.17907610827947648,0.3305107379685027,0.1806353939175958,0.34877249658809645,-0.034824859004019326,-0.03775227675595533,-0.011222242818063204,0.07141680150989813,,0.2328449078909254
 Cash flow rate,-0.3726454136330556,0.40729429110804827,0.3345104918227196,0.37755104959075725,0.2757482911262473,0.27581991659124244,0.4784604689205189,0.36953177930630327,0.33297654830402784,0.19158595761710717,0.3469875541496964,-0.09685681368177959,0.31457596331051074,1.0,-0.1940209959078431,0.36996285906842286,0.44558955092086433,0.44558955092086433,0.4271092543768347,0.40646050406734846,0.6564749601211983,-0.06423298348996691,0.39915913346362736,0.4187391063128532,-0.17959019637126739,0.005519138089707789,0.13207516159568009,0.13334620801761907,0.1737401875974242,0.03234109088703237,0.3548345678515325,0.13591309754918285,0.5179267546988613,0.694303454476308,0.6494752152311729,-0.0811093446179066,-0.3575408667723611,-0.5420140544942416,0.542014054494242,0.01923540881346253,-0.14010867897349694,-0.16282013444170618,0.4012593070067464,0.42269147670650736,-0.10477136017192841,0.009408669697611272,0.14961522593281884,-0.0995137649000668,0.07347290136449189,0.16182736174236925,-0.22260460199376514,0.06514920084004075,0.441824099959994,-0.04820622474402081,0.43569535111029484,-0.11856403179412517,-0.10229481010794855,0.09659242103519038,0.6456156431158513,-0.12674359320585887,-0.5720047396847334,0.8138443927432093,-0.0702492470227696,0.5491505598305235,-0.27287701734550385,0.19870747588828655,-0.1055723472839781,-0.11555944285415007,0.40437578622821874,0.45013099232093867,-0.1332875576294508,0.036700631790739305,-0.11198229379622607,0.18701365607045528,0.0863332195733536,0.07757483991311755,0.16482990066285202,-0.27287701734550385,-0.1055723472839781,-0.041666881512705166,0.09922654375009293,0.22213979440710857,0.7321269128550418,0.18479808500814673,-0.5266116040257305,-0.13046364352114181,0.3705801625347306,-0.07720566086534209,0.30982527464154547,0.27573093176700625,-0.0708684798302248,-0.10337531179514343,-0.09959594235745364,0.049803716767975986,,0.5429180580166916
 Interest-bearing debt interest rate,0.18849556385593652,-0.003993128692593072,0.02264165622876029,-0.004234272467632171,-0.12101711348341362,-0.12147669114236886,-0.04123756723493283,-0.18800355813182376,-0.18152011614997285,-0.2088845940532953,-0.22297499459933978,0.0005511665745454892,-0.1352786625706704,-0.1940209959078431,1.0,-0.06966229048861561,-0.18841236109727563,-0.18841236109727563,-0.17458033219152982,-0.11608489734310552,-0.06334001480875003,-0.05483206851603062,0.02314036196105851,-0.07966887307313134,0.2046054668279256,-0.050721133259518644,0.14923648397047262,0.14662484574916707,0.15014176834209436,-0.0872621618106402,0.00641257235628851,0.08947623052553606,0.05156351942546189,-0.15336737485391927,-0.17067261313937254,0.21496505057380189,0.05666602870695735,0.11439582488963092,-0.11439582488963337,-0.2824882676297275,0.1711060032160082,0.07242110682401467,0.02967466706805273,-0.07747427839258669,0.17244689262128948,-0.06626881109215617,-0.29722882766219577,0.31129487286418533,-0.06582127632033243,-0.06003679199091336,-0.018520052316715382,-0.1473385037985757,-0.07940470453726467,0.07260305101896954,-0.08743977233603269,0.1450054626639169,0.13341061911879096,0.055124231995816994,-0.15910805163877006,0.10458917007111654,0.22216341870818274,0.1119172467824228,-0.02029864926550702,-0.0801383307814939,0.32446598742374994,-0.17872076113932917,0.17990577474344888,-0.05168607821697572,-0.155231942551107,-0.04719398134691451,-0.030306696359972643,-0.18650161819627242,0.2420730605325551,-0.03569942492344188,0.07031150970623176,0.06529099906535411,0.2984427161652977,0.32446598742374994,0.17990577474344888,0.08368566673412405,-0.053190346052744024,-0.01794234097068759,-0.015825960924335723,0.0513133338150333,0.24508534202776214,-0.07025090687675423,-0.024369705744959412,-0.13755465554018884,-0.09719934844515175,-0.12103493105206228,-0.09644431290608205,0.1680895128752098,0.10067128358287045,-0.022963058395801806,,0.02793854215176635
 Tax rate (A),-0.36498832797668485,0.3927483765028348,0.3138228295518803,0.3274194961030312,0.36452906235833366,0.3637226692918494,0.5582924958360831,0.3241081570301321,0.26867788514278856,0.09162235745441136,0.28636250694547366,-0.2285693173190548,-0.08539474684810897,0.36996285906842286,-0.06966229048861561,1.0,0.4493177164173778,0.4493177164173778,0.43874730423659014,0.3819619658232218,0.42795779734188943,0.10800034389214334,0.5661940558228383,0.429739066388072,-0.09822482862454245,0.04703256480515381,0.12459750741567109,0.12411783937785247,0.12729988543448736,0.31493839706803,0.3229566471487013,0.07496020775782905,0.3450117134040348,0.3532128145875199,0.34358794949879207,0.07016655086280503,-0.21967957290710377,-0.2859305096512761,0.2859305096512769,-0.07309984553946504,-0.04410184266443644,-0.21838069612786723,0.5676885820417004,0.434921653930731,0.0776506485009957,0.07078180947904364,-0.15384515914058136,0.19506243920970698,0.060393332023228975,-0.14002465097081562,-0.09105013424563217,-0.05149430805752421,0.41882357614866983,-0.174899574873323,0.3724924948166291,0.22733876756665278,0.2361171001262964,0.2746693876075792,0.33581184292264166,-0.09462034858664588,-0.18125977198936713,0.3723130004876057,-0.19925171535930156,0.26098864566884,0.08251625607472507,0.21187668147719319,-0.012312966958660118,-0.2794594289999469,0.4193102814371386,0.29499277855076145,0.050551967167721645,-0.05744468449230576,0.013642878039852696,0.1490595899809066,0.1534730692386369,0.06168742246102375,0.10892300632104923,0.08251625607472507,-0.012312966958660118,-0.012612434369259243,0.06264582233982272,0.12689477723219666,0.4212395186651036,0.11942725751971146,-0.40111826371918585,-0.09462034858917819,0.3339609700846022,-0.1951843934967454,0.23423636084617144,0.3645195563872115,-0.03171472504209377,-0.03938870760700432,-0.1242612018773633,0.11009478740003693,,0.2561285246761709
 Net Value Per Share (B),-0.6174281984266018,0.724768099794665,0.7253975602855353,0.7082756823773559,0.2257509129366326,0.2252002398036131,0.5277235482354591,0.6457040533596942,0.6304862341421622,0.5048865347459633,0.5671550969513381,-0.03121303652868908,0.14553941400406123,0.44558955092086433,-0.18841236109727563,0.4493177164173778,1.0,1.0,0.9891087866279553,0.7586250214925158,0.45979272865509124,-0.030643239297068494,0.5739866745998983,0.7794431053971387,-0.145915415777027,-0.04989614697107407,0.20370862024547617,0.20631617257577825,0.32305019095647425,0.26249919228998736,0.751591874903638,0.49453065764344867,0.5040128471177199,0.5084005122731613,0.4827087543863638,-0.04861215741401257,-0.7086804544991234,-0.7166314276931633,0.7166314276931639,0.38596163273894674,0.11742435023323328,-0.1400428691513649,0.5704389423259584,0.7886791669479166,0.1767330880528719,-0.08518961171284638,-0.026567574374839087,0.06625228918157132,0.1030416288941113,0.027221077208224573,-0.48338315973143325,-0.06649046526837252,0.5109380894441541,-0.056052128084790605,0.6208035076440356,0.02310380987830363,0.029304513343088374,0.12496239462682666,0.4853813770651912,0.03159994713823979,-0.6485152223259602,0.37406288159576345,0.02752586353597103,0.37058022943259583,-0.14036170957101607,0.2137621336940792,0.15913601834219634,-0.12253515105878555,0.8963336993096527,0.6818272234266,-0.4792348337493687,-0.20410534848078243,-0.2910940935701192,0.39427766884622806,-0.056585785181551655,-0.04601097871627683,-0.12379295704583747,-0.14036170957101607,0.15913601834219634,0.20992048699257973,-0.053859603294835856,0.046883370572848714,0.4844343935775045,0.5010951975786239,-0.6870899800796743,-0.4648459112420247,0.7623632201374435,0.053498901853340206,0.36820294618571636,0.22576782542771096,-0.36093728814632786,0.13921725522803838,-0.004984663195371055,0.12774595865281,,0.5130960253073867
 Net Value Per Share (A),-0.6174281984266018,0.724768099794665,0.7253975602855353,0.7082756823773559,0.2257509129366326,0.2252002398036131,0.5277235482354591,0.6457040533596942,0.6304862341421622,0.5048865347459633,0.5671550969513381,-0.03121303652868908,0.14553941400406123,0.44558955092086433,-0.18841236109727563,0.4493177164173778,1.0,1.0,0.9891087866279553,0.7586250214925158,0.45979272865509124,-0.030643239297068494,0.5739866745998983,0.7794431053971387,-0.145915415777027,-0.04989614697107407,0.20370862024547617,0.20631617257577825,0.32305019095647425,0.26249919228998736,0.751591874903638,0.49453065764344867,0.5040128471177199,0.5084005122731613,0.4827087543863638,-0.04861215741401257,-0.7086804544991234,-0.7166314276931633,0.7166314276931639,0.38596163273894674,0.11742435023323328,-0.1400428691513649,0.5704389423259584,0.7886791669479166,0.1767330880528719,-0.08518961171284638,-0.026567574374839087,0.06625228918157132,0.1030416288941113,0.027221077208224573,-0.48338315973143325,-0.06649046526837252,0.5109380894441541,-0.056052128084790605,0.6208035076440356,0.02310380987830363,0.029304513343088374,0.12496239462682666,0.4853813770651912,0.03159994713823979,-0.6485152223259602,0.37406288159576345,0.02752586353597103,0.37058022943259583,-0.14036170957101607,0.2137621336940792,0.15913601834219634,-0.12253515105878555,0.8963336993096527,0.6818272234266,-0.4792348337493687,-0.20410534848078243,-0.2910940935701192,0.39427766884622806,-0.056585785181551655,-0.04601097871627683,-0.12379295704583747,-0.14036170957101607,0.15913601834219634,0.20992048699257973,-0.053859603294835856,0.046883370572848714,0.4844343935775045,0.5010951975786239,-0.6870899800796743,-0.4648459112420247,0.7623632201374435,0.053498901853340206,0.36820294618571636,0.22576782542771096,-0.36093728814632786,0.13921725522803838,-0.004984663195371055,0.12774595865281,,0.5130960253073867
 Net Value Per Share (C),-0.5773366619095148,0.7047735642155909,0.7102143775378774,0.6878023289124863,0.22405587675763625,0.2234159569396087,0.5065484550907217,0.5737194653970911,0.5575873958587088,0.4278339314357268,0.4819068677193797,-0.04224485191926541,0.1308309803288066,0.4271092543768347,-0.17458033219152982,0.43874730423659014,0.9891087866279553,0.9891087866279553,1.0,0.7270235693733693,0.4232142878823324,-0.04982915584865734,0.56278586672812,0.7493498231427451,-0.07775452478985806,-0.04741259184680005,0.20358975869734422,0.20619396120652383,0.32031441078654077,0.254996145690467,0.7329687357031317,0.49060928633749484,0.48803834003575436,0.505927384023569,0.4712699059386637,-0.05685220633403424,-0.6899300875935142,-0.6893170274642366,0.6893170274642366,0.3760578815699502,0.11801599306164896,-0.13389250754883933,0.5593686364713308,0.7624216630347679,0.18951895475948785,-0.10292118371226645,-0.02606786493296473,0.05912936046307058,0.11159878265986074,0.027875969405639495,-0.49319158785720335,-0.06389858881582323,0.4925261941035068,0.0338648569990913,0.6310898880559874,0.029609998673905506,0.0519229384972217,0.10364088695918032,0.47545850845409504,0.1622301943876799,-0.6382089247227957,0.35877252396934106,0.023058852104943402,0.38765423124098947,-0.1517434552238585,0.23706688904139778,0.16178941975883995,-0.12701820001133934,0.8661586828146627,0.6513199201268273,-0.4739730025829413,-0.20400189555947398,-0.30445964774358447,0.49898795713770194,-0.07318278654959509,-0.043860933115134365,-0.1359746947272784,-0.1517434552238585,0.16178941975883995,0.20990763594937567,-0.053251942392062886,0.044438048535719234,0.46247468606401654,0.49654266305731704,-0.6899038223963812,-0.4600648471484229,0.7471331318899666,0.07651802122508254,0.3688752491349337,0.2240733772950163,-0.3594437708928115,0.14807696610869978,-0.00841952150597325,0.12741356769029322,,0.49191349176816573
 Persistent EPS in the Last Four Seasons,-0.6481672486059272,0.9681739419202972,0.9453426387621829,0.9656263439009101,0.2669485077780267,0.26670225810631315,0.6241437819601097,0.7389389827713969,0.7375046246656574,0.5666861001020885,0.7241848854557372,0.04461908442547977,0.16233194042361404,0.40646050406734846,-0.11608489734310552,0.3819619658232218,0.7586250214925158,0.7586250214925158,0.7270235693733693,1.0,0.5807160033414646,0.028221997557362082,0.7108946704159386,0.979249845861668,-0.09837922616426646,0.04200087849171026,0.15735835163690726,0.15772986058310098,0.45589897206337365,0.14223048137366265,0.9368340361588002,0.7548365293992222,0.7083670336372176,0.33095803265867413,0.3012543033179244,0.07017172555200171,-0.8320889640724932,-0.6427007749820223,0.642700774982023,0.25780783085099035,0.4236445418178947,-0.01236018872191137,0.7073154339124016,0.977161274416803,0.4660157179975846,-0.007560824881011334,-0.06281180056735004,0.11863257106018198,0.11392694589258323,-0.06336141234210342,-0.4477384460777213,-0.030454341684055232,0.6555677362699297,-0.16339409043440295,0.4754731615415984,-0.09284458982590277,-0.0592763200405841,-0.06676437464364653,0.29065851717302893,-0.1829686350553297,-0.5744267692223844,0.39877954037281643,0.06254405211675881,0.3044329906668604,-0.07534613200290768,-0.12007608785234107,0.44703776188572325,-0.046672792715526885,0.8097883609036219,0.6667606425065922,-0.5575786821386999,-0.03754418148203098,-0.11171080581594112,0.08922620853653192,-0.06909817925702334,0.00029800603598419524,0.06609946894809522,-0.07534613200290768,0.44703776188572325,0.504873660781931,-0.14368531924850034,0.023667475737820624,0.5947228311958148,0.7461848442809897,-0.4732138562618981,-0.703658780680066,0.9576662692852586,-0.07305861864523953,0.21496584217218118,0.26695116733876056,-0.5886608976522543,0.4268469762439502,-0.02951493370556418,0.023837757798411418,,0.3811583919369875
 Cash Flow Per Share,-0.525652182988299,0.5775447235281659,0.4742877063846303,0.543560974625479,0.21985913544597344,0.22012838540555235,0.5257073264117159,0.41673468435416156,0.3892639581029861,0.22376053009692634,0.43840627764597967,0.007665490540976412,0.11508553469650117,0.6564749601211983,-0.06334001480875003,0.42795779734188943,0.45979272865509124,0.45979272865509124,0.4232142878823324,0.5807160033414646,1.0,0.2333421403171165,0.6669555627738407,0.5795277120929715,-0.3085768912814545,0.0205506571689807,0.1565606810234747,0.1585009893499987,0.2646319586245465,0.005115520240210759,0.49130383308782216,0.24938918435416987,0.8430010060182339,0.2762573231977136,0.23722752796262328,-0.0010623054483520171,-0.4219424364057965,-0.4254520107253662,0.42545201072536604,-0.09578552976210222,0.02557809143706447,-0.141474788213434,0.6679609536608573,0.5772547663461818,0.08682188001014578,0.21974808843886576,0.17843453113358143,-0.0854997252192319,0.009097335753813104,-0.10968075384539122,-0.0757729995926615,0.16660550809694383,0.5809609885656444,-0.15537495093040798,0.3247974774962438,-0.07266387420211698,-0.031792627719549715,0.06264881341297852,0.2251608764361505,-0.2697665113163332,-0.3841186976446327,0.6881580714609216,0.004465555433525842,0.2976879157420571,-0.04520975289900491,0.07564824764924863,0.03901679923537218,-0.07886385401738111,0.47753361969312563,0.43422623384559433,-0.1287375550716956,0.2404532850583368,-0.019321137854512265,-0.05571823493023759,0.02332340849075823,0.16012178594276422,0.36727037067965385,-0.04520975289900491,0.03901679923537218,0.14811380472165017,0.09316321814250679,0.12017435100292127,0.9649094469531663,0.32283937553179254,-0.34612313580064147,-0.24402207263572567,0.4865730212999106,-0.18054976015624383,0.16940034072520152,0.21985024277369292,-0.16852345423653978,0.02826095192754742,-0.04325147458721903,0.05147296661440747,,0.2740961288305449
 Revenue Per Share (Yuan ¥),-0.03610152676852688,0.03350980999567362,-0.028284108829936445,0.019914834279220358,-0.33139219979488793,-0.3309871516172139,0.02694795631685236,-0.05932524618869935,-0.05325211345213958,-0.08798977562299652,0.0032413773923722442,0.44656042828241554,-0.39491821939899613,-0.06423298348996691,-0.05483206851603062,0.10800034389214334,-0.030643239297068494,-0.030643239297068494,-0.04982915584865734,0.028221997557362082,0.2333421403171165,1.0,0.26825814034273315,0.011307704876435901,-0.11465418159602704,-0.002272891577842306,-0.3052245724796693,-0.30574790537220925,-0.2444730682884083,0.028218840701502122,-0.047463107895032414,-0.11167580629076983,0.029376593577611125,-0.051159861265999224,-0.07734904832801497,0.031078512828314576,0.14683351546561607,0.23430272587570108,-0.2343027258757006,-0.21685855325315714,0.012181776879778566,0.028920202605708503,0.26773114919112945,0.009439380197226673,0.3240520691039295,0.9286674709297884,0.4321172645590454,-0.2924131247114061,-0.3523149715717626,-0.4034671772668183,0.8087388981507678,0.5940013005059097,0.26163844892564325,-0.07461900307341661,0.14430199979722286,0.5519536947784649,0.6422665012383827,0.023312826905318215,-0.06076144819515932,-0.12753146169062857,0.453674383732462,0.043848946554399915,-0.026884177516372062,-0.00754353043109525,0.4163286988640597,0.14819439604457235,0.04587786369712189,-0.28386705044321564,-0.001219219256028724,0.056960218504592666,0.1041241012082399,0.285983745903165,-0.14868424776825934,-0.12237586162482106,-0.23519645724923052,0.10627912256892232,0.0267359810827665,0.4163286988640597,0.04587786369712189,-0.10525798232231098,0.07244900320862387,0.021676383110415632,0.15931442208016688,-0.08365491465938962,-0.07604014718267715,0.0895801397701389,-0.030298118890647662,-0.2245556079212471,0.0832985811226162,-0.3314116459484021,0.097503026396507,-0.017614282595338975,-0.037987212031364945,0.12132518031193432,,-0.27146245936506513
 Operating Profit Per Share (Yuan ¥),-0.5716195524587526,0.7429583305456589,0.6673881295781791,0.6956780124935842,0.45918251648794073,0.4590822721874231,0.8734722821079322,0.4862588220761068,0.4568758887886035,0.11773033493048543,0.4534385212654531,0.0176686038826775,0.0665662978865306,0.39915913346362736,0.02314036196105851,0.5661940558228383,0.5739866745998983,0.5739866745998983,0.56278586672812,0.7108946704159386,0.6669555627738407,0.26825814034273315,1.0,0.7330924223959561,-0.0069330704448429875,0.13674333415076334,0.1523159345830711,0.15170710286588887,0.3202121924395826,0.14251248159431495,0.6527224651545388,0.39994711622494455,0.6148401078962056,0.23035008673430263,0.19622210591706193,0.05230324173924231,-0.44517610627362225,-0.3205552408034273,0.32055524080342757,-0.03479808440912044,0.2169086685179621,0.00254503602607238,0.999650910767724,0.736486716455675,0.3101422556524547,0.1826574877093316,0.052607016514086474,0.0035740369223977576,0.02201439876591389,-0.24912860104909537,-0.10105671672781763,0.0651654550310399,0.8332560377163676,-0.12273368082231358,0.3733410892363848,0.1360864088380637,0.1565594790976419,0.055877852165099384,0.203838470151394,-0.09264061696860033,-0.2578561956056653,0.4567606849747414,-0.012481999670399804,0.20803538994777754,0.036972131591780893,0.03748735241129192,0.23675839664636716,-0.14664324525636574,0.5739512929487333,0.5674176477850819,-0.10762681385876842,0.06873959639245213,-0.022594552235116947,0.08820438128774302,-0.048295452801187626,0.12021909603685839,0.20895108529532194,0.036972131591780893,0.23675839664636716,0.2929948849145829,0.04536801149653885,0.103991420388311,0.6422881882570182,0.43757754292405837,-0.35438332165243897,-0.3742914903458339,0.6750332447438689,-0.15622717248191212,0.20802577125667754,0.45916309779735404,-0.2827984151834102,0.22474039149335354,-0.051730389645059785,0.040751724270268117,,0.15780676149608752
